Date,Price,Open,High,Low,Change %
09/06/2023,1895.8,1902.1,1915.0,1884.5,-0.34%
09/05/2023,1902.3,1940.5,1942.7,1901.2,-0.63%
09/04/2023,1914.4,1920.3,1923.9,1909.7,-0.31%
09/03/2023,1920.4,1923.6,1924.7,1919.7,-0.12%
09/01/2023,1922.7,1902.8,1934.0,1902.1,+1.11%
08/31/2023,1901.6,1908.9,1918.3,1900.3,-0.26%
08/30/2023,1906.6,1898.9,1912.8,1889.6,+0.41%
08/29/2023,1898.8,1874.3,1900.7,1862.1,+1.36%
08/28/2023,1873.3,1857.7,1884.5,1856.1,+0.86%
08/25/2023,1857.4,1851.9,1867.2,1832.8,+0.38%
08/24/2023,1850.3,1877.4,1883.7,1847.6,-1.33%
08/23/2023,1875.2,1857.0,1879.3,1852.0,+1.00%
08/22/2023,1856.6,1861.3,1875.0,1850.0,-0.27%
08/21/2023,1861.6,1864.6,1874.1,1848.8,-0.18%
08/18/2023,1865.0,1855.1,1871.3,1837.8,+0.47%
08/17/2023,1856.2,1876.7,1889.0,1853.6,-1.19%
08/16/2023,1878.6,1903.3,1911.9,1876.7,-1.25%
08/15/2023,1902.4,1930.0,1933.9,1900.8,-1.33%
08/14/2023,1928.1,1932.3,1939.3,1907.2,-0.16%
08/11/2023,1931.2,1930.5,1938.5,1918.3,+0.14%
08/10/2023,1928.5,1940.2,1963.6,1920.5,-0.50%
08/09/2023,1938.1,1953.7,1964.6,1930.0,-0.87%
08/08/2023,1955.1,1968.3,1969.0,1928.2,-0.63%
08/07/2023,1967.5,1965.3,1977.0,1950.6,+0.10%
08/04/2023,1965.5,1969.7,1987.7,1958.7,-0.27%
08/03/2023,1970.8,1975.8,1982.9,1955.2,-0.29%
08/02/2023,1976.6,1994.5,1999.3,1966.0,-1.37%
08/01/2023,2004.0,2015.0,2017.8,1983.5,-0.48%
07/31/2023,2013.6,1992.7,2015.7,1985.4,+1.14%
07/28/2023,1991.0,1966.3,1996.4,1959.5,+1.26%
07/27/2023,1966.2,1987.6,2012.7,1958.1,-1.29%
07/26/2023,1991.9,1980.2,1999.5,1972.3,+0.74%
07/25/2023,1977.2,1977.3,1989.9,1970.7,+0.02%
07/24/2023,1976.9,1971.2,1990.5,1967.5,+0.32%
07/22/2023,1970.5,1970.5,1970.5,1970.5,-0.06%
07/21/2023,1971.7,1981.1,1995.9,1968.8,-0.42%
07/20/2023,1980.1,1998.1,2007.0,1971.1,-0.86%
07/19/2023,1997.3,1988.0,2005.9,1983.1,+0.37%
07/18/2023,1989.9,1962.7,1993.0,1957.7,+1.25%
07/17/2023,1965.3,1943.1,1973.2,1938.0,+1.09%
07/14/2023,1944.2,1960.2,1964.7,1932.0,-1.00%
07/13/2023,1963.9,1948.8,1967.0,1947.6,+0.79%
07/12/2023,1948.5,1927.3,1965.3,1926.1,+1.07%
07/11/2023,1927.8,1910.7,1931.3,1906.0,+0.95%
07/10/2023,1909.6,1876.7,1911.3,1861.6,+1.68%
07/07/2023,1878.0,1854.4,1894.3,1847.1,+1.17%
07/06/2023,1856.3,1886.6,1887.2,1835.0,-1.68%
07/05/2023,1888.0,1910.9,1913.4,1884.4,-1.03%
07/04/2023,1907.7,1909.0,1913.4,1906.7,-0.18%
07/03/2023,1911.1,1903.2,1919.6,1898.2,+0.39%
06/30/2023,1903.7,1897.6,1916.4,1895.9,+0.30%
06/29/2023,1898.1,1876.0,1902.3,1871.3,+1.29%
06/28/2023,1874.0,1863.1,1878.0,1852.4,+0.44%
06/27/2023,1865.7,1841.2,1871.7,1834.1,+1.48%
06/26/2023,1838.4,1835.1,1858.7,1825.1,+0.21%
06/23/2023,1834.6,1866.3,1867.8,1830.7,-1.65%
06/22/2023,1865.3,1880.1,1882.8,1857.0,-0.81%
06/21/2023,1880.5,1883.0,1892.4,1869.3,-0.26%
06/20/2023,1885.4,1898.0,1898.0,1870.7,-0.26%
06/19/2023,1890.4,1894.3,1896.8,1887.3,-0.21%
06/18/2023,1894.3,1896.0,1897.6,1894.0,-0.78%
06/16/2023,1909.1,1888.8,1900.4,1884.1,+0.98%
06/15/2023,1890.6,1878.6,1894.0,1858.6,+0.73%
06/14/2023,1876.9,1901.2,1910.4,1862.4,-1.12%
06/13/2023,1898.2,1879.7,1908.7,1875.0,+0.16%
06/12/2023,1895.1,1886.2,1903.4,1878.3,+0.47%
06/09/2023,1886.2,1900.0,1903.3,1880.9,-0.83%
06/08/2023,1901.9,1915.7,1918.2,1886.2,+0.50%
06/07/2023,1892.4,1858.6,1898.6,1854.8,+1.85%
06/06/2023,1858.1,1810.2,1864.5,1802.5,+2.68%
06/05/2023,1809.6,1835.8,1842.8,1798.5,-1.36%
06/02/2023,1834.6,1773.0,1836.1,1771.5,+3.59%
06/01/2023,1771.0,1751.3,1777.2,1743.4,+1.10%
05/31/2023,1751.8,1770.7,1775.8,1738.5,-1.10%
05/30/2023,1771.2,1787.7,1791.7,1763.3,-0.47%
05/29/2023,1779.6,1784.6,1787.1,1775.3,-0.30%
05/28/2023,1784.9,1789.8,1790.0,1784.9,+0.43%
05/26/2023,1777.3,1756.3,1780.3,1750.5,+1.06%
05/25/2023,1758.7,1775.0,1775.5,1742.7,-0.75%
05/24/2023,1772.0,1794.7,1798.9,1763.5,-1.18%
05/23/2023,1793.1,1802.8,1823.7,1791.7,-0.43%
05/22/2023,1800.9,1771.6,1808.6,1769.4,+1.22%
