Date,Price,Open,High,Low,Change %
08/07/2023,4518.44,4491.58,4519.84,4491.15,+0.90%
08/04/2023,4478.03,4513.96,4540.34,4474.55,-0.53%
08/03/2023,4501.89,4494.27,4519.49,4485.54,-0.25%
08/02/2023,4513.39,4550.93,4550.93,4505.75,-1.38%
08/01/2023,4576.73,4578.83,4584.62,4567.53,-0.27%
07/31/2023,4588.96,4584.82,4594.22,4573.14,+0.15%
07/28/2023,4582.23,4565.75,4590.16,4564.01,+0.99%
07/27/2023,4537.41,4598.26,4607.07,4528.56,-0.64%
07/26/2023,4566.75,4558.96,4582.47,4547.58,-0.02%
07/25/2023,4567.46,4555.19,4580.62,4552.42,+0.28%
07/24/2023,4554.64,4543.39,4563.41,4541.29,+0.40%
07/21/2023,4536.34,4550.16,4555.0,4535.79,+0.03%
07/20/2023,4534.87,4554.38,4564.74,4527.56,-0.68%
07/19/2023,4565.72,4563.87,4578.43,4557.48,+0.24%
07/18/2023,4554.98,4521.78,4562.3,4514.59,+0.71%
07/17/2023,4522.79,4508.86,4532.85,4504.9,+0.39%
07/14/2023,4505.42,4514.61,4527.76,4499.56,-0.10%
07/13/2023,4510.04,4491.5,4517.38,4489.36,+0.85%
07/12/2023,4472.16,4467.69,4488.34,4463.23,+0.74%
07/11/2023,4439.26,4415.55,4443.64,4408.46,+0.67%
07/10/2023,4409.53,4394.23,4412.6,4389.92,+0.24%
07/07/2023,4398.95,4404.54,4440.39,4397.4,-0.29%
07/06/2023,4411.59,4422.62,4422.62,4385.05,-0.79%
07/05/2023,4446.82,4442.04,4454.06,4436.61,-0.20%
07/03/2023,4455.59,4450.48,4456.46,4442.29,+0.12%
06/30/2023,4450.38,4422.44,4458.48,4422.44,+1.23%
06/29/2023,4396.44,4374.94,4398.39,4371.97,+0.45%
06/28/2023,4376.86,4367.48,4390.35,4360.22,-0.04%
06/27/2023,4378.41,4337.36,4384.42,4335.0,+1.15%
06/26/2023,4328.82,4344.84,4362.06,4328.08,-0.45%
06/23/2023,4348.33,4354.17,4366.55,4341.34,-0.77%
06/22/2023,4381.89,4355.4,4382.25,4351.82,+0.37%
06/21/2023,4365.69,4380.01,4386.22,4360.14,-0.52%
06/20/2023,4388.71,4396.11,4400.15,4367.19,-0.47%
06/16/2023,4409.59,4440.95,4448.47,4407.44,-0.37%
06/15/2023,4425.84,4365.33,4439.2,4362.6,+1.22%
06/14/2023,4372.59,4366.29,4391.82,4337.85,+0.08%
06/13/2023,4369.01,4352.61,4375.37,4349.31,+0.69%
06/12/2023,4338.93,4308.32,4340.13,4304.37,+0.93%
06/09/2023,4298.86,4304.88,4322.62,4291.7,+0.11%
06/08/2023,4293.93,4268.69,4298.01,4261.07,+0.62%
06/07/2023,4267.52,4285.47,4299.19,4263.96,-0.38%
06/06/2023,4283.85,4271.34,4288.33,4263.09,+0.24%
06/05/2023,4273.79,4282.99,4299.28,4266.82,-0.20%
06/02/2023,4282.37,4241.01,4290.67,4241.01,+1.45%
06/01/2023,4221.02,4183.03,4232.43,4171.64,+0.99%
05/31/2023,4179.83,4190.74,4195.44,4166.15,-0.61%
05/30/2023,4205.52,4226.71,4231.1,4192.18,0.00%
05/26/2023,4205.45,4156.16,4212.87,4156.16,+1.30%
05/25/2023,4151.28,4155.71,4165.74,4129.73,+0.88%
05/24/2023,4115.24,4132.96,4132.96,4103.98,-0.73%
05/23/2023,4145.58,4176.8,4185.68,4142.54,-1.12%
05/22/2023,4192.63,4190.78,4209.22,4179.68,+0.02%
05/19/2023,4191.98,4204.15,4212.91,4180.2,-0.14%
05/18/2023,4198.05,4157.68,4202.2,4153.5,+0.94%
05/17/2023,4158.77,4122.85,4164.67,4113.62,+1.19%
05/16/2023,4109.9,4127.95,4135.54,4109.86,-0.64%
05/15/2023,4136.28,4126.65,4141.25,4110.27,+0.30%
05/12/2023,4124.08,4138.54,4143.74,4099.12,-0.16%
05/11/2023,4130.62,4132.24,4132.8,4109.29,-0.17%
