Date,Price,Open,High,Low,Change %
08/10/2023,15128.84,15217.29,15365.38,15072.71,+0.18%
08/09/2023,15101.71,15288.04,15288.04,15078.58,-1.12%
08/08/2023,15273.05,15276.38,15294.89,15148.32,-0.87%
08/07/2023,15407.85,15354.45,15410.59,15261.25,+0.87%
08/04/2023,15274.92,15436.57,15522.55,15259.07,-0.51%
08/03/2023,15353.54,15289.29,15436.46,15271.77,-0.11%
08/02/2023,15370.74,15561.15,15561.36,15321.44,-2.21%
08/01/2023,15718.01,15696.98,15748.43,15636.57,-0.25%
07/31/2023,15757.0,15774.3,15803.55,15702.74,+0.04%
07/28/2023,15750.93,15630.17,15788.48,15617.75,+1.85%
07/27/2023,15464.93,15734.03,15795.51,15416.05,-0.22%
07/26/2023,15499.26,15514.04,15571.16,15411.91,-0.40%
07/25/2023,15561.42,15483.06,15622.69,15482.04,+0.73%
07/24/2023,15448.02,15475.15,15504.67,15374.66,+0.14%
07/21/2023,15425.67,15554.95,15600.54,15410.57,-0.26%
07/20/2023,15466.09,15717.67,15771.84,15429.87,-2.28%
07/19/2023,15826.35,15888.16,15932.05,15781.96,-0.09%
07/18/2023,15841.35,15671.72,15895.68,15607.71,+0.82%
07/17/2023,15713.28,15608.28,15745.67,15576.51,+0.95%
07/14/2023,15565.6,15610.0,15720.06,15531.0,-0.04%
07/13/2023,15571.98,15432.48,15602.74,15420.71,+1.73%
07/12/2023,15307.23,15279.35,15364.09,15209.71,+1.24%
07/11/2023,15119.06,15068.13,15135.29,14974.16,+0.49%
07/10/2023,15045.64,15031.95,15066.43,14924.64,+0.06%
07/07/2023,15036.85,15070.5,15210.63,15032.56,-0.35%
07/06/2023,15089.45,15054.1,15106.45,14969.14,-0.75%
07/05/2023,15203.78,15165.36,15275.18,15162.66,-0.03%
07/03/2023,15208.69,15190.54,15232.96,15153.6,+0.19%
06/30/2023,15179.21,15085.24,15213.75,15081.57,+1.60%
06/29/2023,14939.95,14965.55,14986.89,14876.94,-0.16%
06/28/2023,14964.58,14876.25,15051.08,14865.81,+0.12%
06/27/2023,14945.91,14751.57,14972.32,14726.75,+1.75%
06/26/2023,14689.02,14866.66,14982.82,14687.02,-1.36%
06/23/2023,14891.48,14879.23,14983.73,14821.81,-1.00%
06/22/2023,15042.32,14797.89,15044.22,14794.95,+1.18%
06/21/2023,14867.45,15019.01,15038.9,14826.02,-1.35%
06/20/2023,15070.15,15036.48,15127.42,14946.72,-0.09%
06/16/2023,15083.92,15272.65,15284.65,15073.45,-0.67%
06/15/2023,15185.48,14949.7,15246.62,14930.12,+1.20%
06/14/2023,15005.69,14894.1,15017.1,14784.62,+0.70%
06/13/2023,14900.85,14911.26,14931.83,14770.14,+0.79%
06/12/2023,14784.3,14617.35,14789.6,14571.36,+1.76%
06/09/2023,14528.36,14574.24,14672.85,14487.48,+0.30%
06/08/2023,14484.54,14319.24,14503.31,14314.69,+1.27%
06/07/2023,14303.29,14573.27,14647.91,14283.88,-1.75%
06/06/2023,14558.09,14526.1,14593.5,14476.99,+0.01%
06/05/2023,14556.5,14550.13,14662.95,14516.88,+0.07%
06/02/2023,14546.64,14517.08,14595.81,14442.15,+0.73%
06/01/2023,14441.51,14269.09,14493.31,14219.94,+1.31%
05/31/2023,14254.09,14293.56,14375.38,14216.16,-0.70%
05/30/2023,14354.99,14465.59,14520.17,14301.08,+0.40%
05/26/2023,14298.41,13990.55,14329.49,13982.16,+2.58%
05/25/2023,13938.53,13920.89,13986.87,13812.18,+2.46%
05/24/2023,13604.48,13589.02,13655.73,13520.92,-0.50%
05/23/2023,13672.54,13773.68,13827.1,13662.91,-1.28%
05/22/2023,13849.74,13805.33,13893.71,13792.97,+0.34%
05/19/2023,13803.49,13842.69,13874.42,13763.9,-0.23%
05/18/2023,13834.62,13608.95,13844.76,13606.81,+1.81%
05/17/2023,13589.26,13474.52,13608.33,13419.35,+1.22%
05/16/2023,13426.01,13385.37,13498.44,13384.77,+0.09%
05/15/2023,13413.51,13352.26,13419.81,13297.85,+0.55%
05/12/2023,13340.17,13407.02,13427.42,13256.56,-0.37%
05/11/2023,13389.78,13376.85,13411.7,13306.08,+0.31%
05/10/2023,13347.83,13308.42,13384.42,13204.79,+1.11%
05/09/2023,13201.11,13228.64,13254.81,13193.88,-0.68%
05/08/2023,13291.64,13247.09,13302.43,13193.08,+0.25%
05/05/2023,13259.13,13070.69,13291.11,13059.91,+2.13%
05/04/2023,12982.48,13014.08,13064.02,12938.45,-0.37%
05/03/2023,13030.21,13123.1,13231.71,13026.04,-0.64%
05/02/2023,13113.66,13225.48,13241.53,13046.79,-0.89%
05/01/2023,13231.47,13229.11,13287.47,13186.4,-0.11%
04/28/2023,13245.99,13139.35,13247.39,13096.93,+0.65%
04/27/2023,13160.03,12963.21,13175.62,12938.5,+2.76%
04/26/2023,12806.49,12866.64,12929.62,12783.42,+0.64%
04/25/2023,12725.11,12905.09,12933.28,12724.24,-1.89%
04/24/2023,12969.76,12981.71,13044.23,12883.77,-0.24%
04/21/2023,13000.77,12970.32,13030.85,12899.64,+0.11%
04/20/2023,12985.98,12962.29,13107.92,12933.8,-0.78%
04/19/2023,13088.72,12992.51,13128.25,12988.2,-0.02%
04/18/2023,13091.79,13180.31,13196.18,13044.21,+0.03%
04/17/2023,13087.71,13053.26,13105.68,12981.26,+0.06%
04/14/2023,13079.52,13044.69,13152.28,12962.51,-0.23%
04/13/2023,13109.39,12922.9,13124.41,12920.02,+2.03%
04/12/2023,12848.35,13043.97,13071.98,12833.31,-0.89%
04/11/2023,12964.16,13040.49,13049.56,12947.66,-0.67%
04/10/2023,13051.23,12936.52,13051.85,12861.52,-0.09%
04/06/2023,13062.6,12892.9,13078.1,12846.03,+0.74%
04/05/2023,12967.2,13056.79,13065.27,12894.44,-1.01%
04/04/2023,13100.08,13148.35,13204.08,13049.98,-0.37%
04/03/2023,13148.35,13084.1,13157.47,13036.55,-0.25%
03/31/2023,13181.35,12968.96,13188.83,12968.0,+1.68%
03/30/2023,12963.14,12934.99,12987.97,12894.14,+0.91%
03/29/2023,12846.03,12768.14,12867.32,12734.68,+1.87%
03/28/2023,12610.57,12654.91,12654.91,12517.87,-0.49%
03/27/2023,12673.07,12797.9,12839.42,12647.94,-0.74%
03/24/2023,12767.05,12700.51,12770.28,12608.15,+0.30%
03/23/2023,12729.23,12735.6,12900.1,12611.67,+1.29%
03/22/2023,12567.15,12742.41,12943.62,12563.78,-1.37%
03/21/2023,12741.44,12643.35,12762.45,12582.76,+1.42%
03/20/2023,12562.61,12487.79,12578.35,12407.82,+0.34%
03/17/2023,12519.88,12570.16,12674.34,12444.08,-0.49%
03/16/2023,12581.39,12211.87,12595.69,12190.65,+2.69%
03/15/2023,12251.32,12083.24,12269.45,12026.18,+0.42%
03/14/2023,12199.79,12078.46,12217.87,12035.22,+2.32%
03/13/2023,11923.17,11752.1,12073.95,11695.41,+0.79%
03/10/2023,11830.28,12001.7,12069.62,11789.86,-1.38%
03/09/2023,11995.88,12230.84,12340.45,11970.34,-1.80%
03/08/2023,12215.33,12181.06,12237.72,12102.28,+0.52%
03/07/2023,12152.17,12303.19,12344.05,12130.01,-1.22%
03/06/2023,12302.48,12344.65,12466.88,12297.57,+0.09%
03/03/2023,12290.81,12110.7,12300.46,12095.24,+2.04%
03/02/2023,12044.87,11830.09,12074.59,11830.09,+0.89%
03/01/2023,11938.57,12026.72,12054.48,11906.58,-0.86%
02/28/2023,12042.12,12041.75,12146.52,12021.32,-0.13%
02/27/2023,12057.79,12106.79,12159.64,12034.61,+0.74%
02/24/2023,11969.65,11979.8,12018.32,11900.84,-1.73%
02/23/2023,12180.14,12224.44,12227.4,12003.31,+0.94%
02/22/2023,12066.27,12085.67,12156.21,12006.04,+0.05%
02/21/2023,12060.3,12205.21,12257.06,12058.23,-2.41%
02/17/2023,12358.18,12352.3,12385.52,12233.79,-0.68%
02/16/2023,12442.48,12495.07,12653.4,12440.0,-1.93%
02/15/2023,12687.89,12531.6,12689.34,12486.42,+0.77%
02/14/2023,12590.89,12413.1,12627.4,12356.32,+0.71%
02/13/2023,12502.31,12356.5,12522.78,12313.44,+1.60%
02/10/2023,12304.92,12306.59,12375.72,12204.22,-0.62%
02/09/2023,12381.17,12677.54,12679.54,12327.44,-0.91%
02/08/2023,12495.38,12680.03,12709.45,12471.11,-1.83%
02/07/2023,12728.27,12474.95,12771.58,12419.71,+2.12%
02/06/2023,12464.51,12468.81,12558.88,12411.88,-0.87%
02/03/2023,12573.36,12520.95,12828.71,12520.95,-1.79%
02/02/2023,12803.14,12655.18,12880.98,12600.76,+3.56%
02/01/2023,12363.1,12087.92,12458.88,12010.74,+2.16%
01/31/2023,12101.93,11915.94,12104.13,11915.94,+1.59%
01/30/2023,11912.39,12047.16,12087.68,11906.11,-2.09%
01/27/2023,12166.6,12000.21,12248.15,11999.87,+0.96%
01/26/2023,12051.48,11972.57,12055.81,11853.37,+2.00%
01/25/2023,11814.69,11636.01,11841.81,11550.07,-0.27%
01/24/2023,11846.65,11802.95,11889.37,11780.07,-0.22%
01/23/2023,11872.54,11652.0,11918.86,11617.83,+2.18%
01/20/2023,11619.03,11363.85,11623.2,11329.54,+2.86%
01/19/2023,11295.67,11345.18,11388.47,11251.94,-1.00%
01/18/2023,11410.29,11636.61,11690.27,11403.32,-1.27%
01/17/2023,11557.19,11531.55,11615.95,11484.02,+0.14%
01/13/2023,11541.48,11362.13,11547.96,11347.6,+0.71%
01/12/2023,11459.61,11441.45,11500.86,11246.02,+0.50%
01/11/2023,11402.52,11259.16,11403.89,11220.75,+1.76%
01/10/2023,11205.78,11069.05,11207.56,11050.68,+0.88%
01/09/2023,11108.44,11133.07,11304.84,11085.33,+0.62%
01/06/2023,11040.35,10807.45,11082.59,10696.42,+2.78%
01/05/2023,10741.22,10837.25,10842.33,10728.26,-1.59%
01/04/2023,10914.8,10949.34,10981.46,10785.53,+0.48%
01/03/2023,10862.64,11038.42,11093.1,10770.93,-0.70%
