Date,Price,Open,High,Low,Change %
06/02/2023,33762.76,33187.58,33805.0,33187.58,+2.12%
06/01/2023,33061.57,32929.85,33167.75,32704.51,+0.47%
05/31/2023,32908.27,32948.71,32984.83,32739.73,-0.41%
05/30/2023,33042.78,33103.65,33132.7,32893.97,-0.15%
05/26/2023,33093.34,32795.5,33162.06,32795.5,+1.00%
05/25/2023,32764.65,32854.26,32870.43,32586.56,-0.11%
05/24/2023,32799.92,33021.76,33031.75,32752.44,-0.77%
05/23/2023,33055.51,33190.6,33310.17,33013.29,-0.69%
05/22/2023,33286.58,33408.54,33512.3,33207.85,-0.42%
05/19/2023,33426.63,33582.95,33652.9,33336.66,-0.33%
05/18/2023,33535.91,33374.56,33579.91,33212.09,+0.34%
05/17/2023,33420.77,33092.48,33472.38,33050.41,+1.24%
05/16/2023,33012.14,33275.37,33290.85,33006.19,-1.01%
05/15/2023,33348.6,33321.21,33400.3,33161.93,+0.14%
05/12/2023,33300.62,33370.58,33406.4,33110.61,-0.03%
05/11/2023,33309.51,33383.89,33389.88,33127.7,-0.66%
05/10/2023,33531.33,33707.2,33772.09,33239.45,-0.09%
05/09/2023,33561.81,33589.85,33656.4,33509.72,-0.17%
05/08/2023,33618.69,33715.15,33747.49,33509.23,-0.17%
05/05/2023,33674.38,33248.55,33748.43,33248.55,+1.65%
05/04/2023,33127.74,33347.78,33354.86,32937.5,-0.86%
05/03/2023,33414.24,33726.64,33811.84,33396.05,-0.80%
05/02/2023,33684.53,34017.62,34017.75,33436.66,-1.08%
05/01/2023,34051.7,34116.81,34257.83,34030.14,-0.14%
04/28/2023,34098.16,33797.43,34104.56,33728.37,+0.80%
04/27/2023,33826.16,33381.66,33859.75,33374.65,+1.57%
04/26/2023,33301.87,33596.34,33645.83,33235.85,-0.68%
04/25/2023,33530.83,33828.34,33875.49,33525.39,-1.02%
04/24/2023,33875.4,33805.04,33891.15,33726.09,+0.20%
04/21/2023,33808.96,33793.6,33858.83,33688.57,+0.07%
04/20/2023,33786.62,33740.6,33875.39,33677.74,-0.33%
04/19/2023,33897.01,33889.83,33957.98,33814.65,-0.23%
04/18/2023,33976.63,33965.16,34018.62,33791.89,-0.03%
04/17/2023,33987.18,33930.46,33991.23,33796.91,+0.30%
04/14/2023,33886.47,33981.71,34082.94,33730.85,-0.42%
04/13/2023,34029.69,33668.97,34054.99,33605.17,+1.14%
04/12/2023,33646.5,33764.21,33895.43,33593.32,-0.11%
04/11/2023,33684.79,33586.75,33781.29,33586.75,+0.29%
04/10/2023,33586.52,33425.25,33590.24,33343.43,+0.30%
04/06/2023,33485.29,33420.96,33525.96,33325.37,+0.01%
04/05/2023,33482.72,33394.6,33543.84,33376.27,+0.24%
04/04/2023,33402.38,33594.79,33634.72,33275.62,-0.59%
04/03/2023,33601.15,33245.78,33632.9,33245.78,+0.98%
03/31/2023,33274.15,32901.96,33291.0,32901.96,+1.26%
03/30/2023,32859.03,32807.43,32905.8,32682.87,+0.43%
03/29/2023,32717.6,32566.54,32728.04,32539.94,+1.00%
03/28/2023,32394.25,32434.85,32551.01,32295.5,-0.12%
03/27/2023,32432.08,32276.72,32564.0,32276.72,+0.60%
03/24/2023,32237.53,32038.22,32257.24,31805.18,+0.41%
03/23/2023,32105.25,32101.49,32511.49,31864.74,+0.23%
